종목코드	기업명	업종
251270	넷마블	소프트웨어 개발 및 공급업
104620	노랑풍선	여행사 및 여행보조 서비스업
90350	노루페인트	화학제품 제조업
320	노루홀딩스	금융업
194700	노바렉스	식품 제조업
285490	노바텍	그외 제품 제조업
229500	노브메타파마	자연과학 및 공학 연구개발업
6280	녹십자	의약품 제조업
144510	녹십자랩셀	"그외 전문, 과학 및 기술 서비스업"
31390	녹십자셀	기초 의약물질 및 생물학적 제제 제조업
142280	녹십자엠에스	의료용품 및 의약 관련제품 제조업
5250	녹십자홀딩스	회사 본부 및 경영 컨설팅 서비스업
65560	녹원씨엔아이	전문 도매업
4370	농심	식품 제조업
72710	농심홀딩스	금융업
54050	농우바이오	작물 재배업
40160	누리텔레콤	소프트웨어 개발 및 공급업
69140	누리플랜	"구조용 금속제품, 탱크 및 증기발생기 제조업"
126870	뉴로스	일반 목적용 기계 제조업
60260	뉴보텍	플라스틱제품 제조업
12340	뉴인텍	전자부품 제조업
270870	뉴트리	식품 제조업
222040	뉴트리바이오텍	식품 제조업
144960	뉴파워프라즈마	특수 목적용 기계 제조업
900100	뉴프라이드	자동차 부품 및 내장품 판매업
85670	뉴프렉스	전자부품 제조업
119860	다나와	소프트웨어 개발 및 공급업
64260	다날	소프트웨어 개발 및 공급업
93640	다믈멀티미디어	반도체 제조업
39560	다산네트웍스	통신 및 방송 장비 제조업
58730	다스코	"구조용 금속제품, 탱크 및 증기발생기 제조업"
23590	다우기술	"자료처리, 호스팅, 포털 및 인터넷 정보매개 서비스업"
32190	다우데이타	기계장비 및 관련 물품 도매업
68240	다원시스	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
86080	다이노나	자연과학 및 공학 연구개발업
271850	다이오진	자연과학 및 공학 연구개발업
19680	대교	초등 교육기관
6370	대구백화점	종합 소매업
8060	대덕전자	전자부품 제조업
178600	대동고려삼	식품 제조업
490	대동공업	특수 목적용 기계 제조업
20400	대동금속	금속 주조업
8830	대동기어	특수 목적용 기계 제조업
48470	대동스틸	1차 철강 제조업
8110	대동전자	통신 및 방송 장비 제조업
4780	대륙제관	금속 가공제품 제조업
5750	대림비앤코	"내화, 비내화 요업제품 제조업"
210	대림산업	토목 건설업
4440	대림씨엔에스	"시멘트, 석회, 플라스터 및 그 제품 제조업"
17650	대림제지	종이 및 판지 제품 제조업
6570	대림통상	금속 가공제품 제조업
7720	대명코퍼레이션	상품 종합 도매업
290670	대보마그네틱	전기장비 제조업
78140	대봉엘에스	의약품 제조업
1680	대상	식품 제조업
84690	대상홀딩스	금융업
36480	대성미생물	의약품 제조업
128820	대성산업	연료 소매업
117580	대성에너지	연료용 가스 제조 및 배관공급업
25440	대성엘텍	영상 및 음향기기 제조업
27830	대성창투	신탁업 및 집합투자업
104040	대성파인텍	자동차 신품 부품 제조업
16710	대성홀딩스	회사 본부 및 경영 컨설팅 서비스업
262830	대신밸런스제4호스팩	금융 지원 서비스업
303030	대신밸런스제5호스팩	금융 지원 서비스업
307750	대신밸런스제6호스팩	금융 지원 서비스업
20180	대신정보통신	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
3540	대신증권	금융 지원 서비스업
45390	대아티아이	전기장비 제조업
9190	대양금속	1차 철강 제조업
108380	대양전기공업	선박 및 보트 건조업
6580	대양제지	"펄프, 종이 및 판지 제조업"
14160	대영포장	"골판지, 종이 상자 및 종이용기 제조업"
47040	대우건설	건물 건설업
9320	대우부품	자동차 신품 부품 제조업
42660	대우조선해양	선박 및 보트 건조업
3090	대웅	금융업
69620	대웅제약	의약품 제조업
7680	대원	건물 건설업
430	대원강업	자동차 신품 부품 제조업
311840	대원모방	직물직조 및 직물제품 제조업
48910	대원미디어	전문 도매업
5710	대원산업	자동차 신품 부품 제조업
6340	대원전선	절연선 및 케이블 제조업
3220	대원제약	의약품 제조업
24890	대원화성	플라스틱제품 제조업
290380	대유	"비료, 농약 및 살균, 살충제 제조업"
2880	대유에이텍	자동차 신품 부품 제조업
290120	대유에이피	자동차 신품 부품 제조업
71460	대유위니아	가정용 기기 제조업
300	대유플러스	통신 및 방송 장비 제조업
120240	대정화금	기초 화학물질 제조업
3310	대주산업	동물용 사료 및 조제식품 제조업
114920	대주이엔티	1차 철강 제조업
78600	대주전자재료	전자부품 제조업
65690	대진디엠피	고무제품 제조업
12800	대창	1차 비철금속 제조업
15230	대창단조	자동차 신품 부품 제조업
96350	대창솔루션	"구조용 금속제품, 탱크 및 증기발생기 제조업"
140520	대창스틸	1차 철강 제조업
131220	대한과학	기계장비 및 관련 물품 도매업
10170	대한광통신	절연선 및 케이블 제조업
54670	대한뉴팜	의약품 제조업
1070	대한방직	직물직조 및 직물제품 제조업
23910	대한약품	의약품 제조업
6650	대한유화	기초 화학물질 제조업
1440	대한전선	절연선 및 케이블 제조업
84010	대한제강	1차 철강 제조업
1790	대한제당	"곡물가공품, 전분 및 전분제품 제조업"
1130	대한제분	"곡물가공품, 전분 및 전분제품 제조업"
3490	대한항공	항공 여객 운송업
5880	대한해운	해상 운송업
3830	대한화섬	화학섬유 제조업
16090	대현	봉제의복 제조업
69460	대호에이엘	1차 비철금속 제조업
21040	대호피앤씨	1차 철강 제조업
67080	대화제약	의약품 제조업
192080	더블유게임즈	소프트웨어 개발 및 공급업
35290	더블유에프엠	"서적, 잡지 및 인쇄물 출판업"
12510	더존비즈온	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
302920	더콘텐츠온	"영화, 비디오물, 방송프로그램 제작 및 배급업"
213420	덕산네오룩스	전자부품 제조업
77360	덕산하이메탈	반도체 제조업
4830	덕성	플라스틱제품 제조업
90410	덕신하우징	"구조용 금속제품, 탱크 및 증기발생기 제조업"
24900	덕양산업	자동차 신품 부품 제조업
263600	덕우전자	전자부품 제조업
194480	데브시스터즈	소프트웨어 개발 및 공급업
263800	데이타솔루션	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
199150	데이터스트림즈	소프트웨어 개발 및 공급업
139050	데일리블록체인	"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
17680	데코앤이	봉제의복 제조업
206560	덱스터	"영화, 비디오물, 방송프로그램 제작 및 배급업"
145720	덴티움	의료용 기기 제조업
67990	도이치모터스	자동차 판매업
